id,label,lat,lng,location
131,Tokelau,-8.967363,-171.855881,Rue St. Sebastien
132,Tunisia,34,9,San Gabriel
133,Tver,56.8578,35.9219,Seattle
134,Ust'-Dzheguta,44.0928,41.9822,Sheldon St.
135,Ust'-Maya,60.4566,134.5433,Springfield
136,Utah,39.32098,-111.093731,Springfield Mall
137,Uzbekistan,41.377491,64.585262,Springfield VA
138,Vanuatu,-15.376706,166.959158,St. Mary 's Terrace
139,Victoria,-37.0201,144.9646,St. Mary's Road
140,Vladivostok,43.1167,131.9,Sudan
141,Vologda,59.2167,39.9,Texas
142,Western Australia,-25.042261,117.793221,The Netherlands
143,Wyoming,43.075968,-107.290284,Trenton
144,Wyoming,43.075968,-107.290284,Trenton Avenue
145,Yekaterinburg,56.8356,60.6128,United Arab Emirates
146,Yemen,15.552727,48.516388,University Drive
147,Yuriung-Khaya,72.81416,40.5333,US
148,Yuzhno-Sakhalinsk,46.95,142.7333,Springfield VA
149,Zambia,-13.133897,27.849332,Springfield Mall
150,Zimbabwe,-19.015438,29.154857,Sheldon St.
